Job Title,Company Name,Location,Skills,Links,Posted At
Senior Front End Engineer - (React. JS - Next. JS),Archicaza -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · React js · HTML5 · Information Technology (IT) · SEO · React · Computer Science · Software Development,/jobs/p/KaadOZ7Eqpa7-Senior-Front-End-Engineer---React-JS---Next-JS-Archicaza-Cairo-Egypt?o=24&l=sp&t=sj&a=front-end|search-v3|hpb,22 days ago
Front End Developer (React Js ),Worex -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SDLC · Software · React js · Front-End Development · HTML · CSS3,/jobs/p/HX8VKblt3TFY-Front-End-Developer-React-Js-Worex-Cairo-Egypt?o=25&l=sp&t=sj&a=front-end|search-v3|hpb,20 days ago
Angular Front End Developer,SevenCodeApps -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Angular · CSS3 · HTML5 · JavaScript · Sass · Web Development · Git · Software Development · Computer Science,/jobs/p/RYHbaE7RUFPV-Angular-Front-End-Developer-SevenCodeApps-Cairo-Egypt?o=26&l=sp&t=sj&a=front-end|search-v3|hpb,16 days ago
Senior Front-End Developer (Angular),ISFP -,"Smouha, Alexandria, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Bootstrap · Computer Science · Information Technology (IT) · Web Development · CSS · Design,/jobs/p/Idd1u9VuRWIb-Senior-Front-End-Developer-Angular-ISFP-Alexandria-Egypt?o=27&l=sp&t=sj&a=front-end|search-v3|hpb,27 days ago
Senior Front End Developer,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · javaScript · CSS · CSS3 · Software Development · Angular2+ · Angular,/jobs/p/RiNY5du7Dxyq-Senior-Front-End-Developer-Egabi-FSI-Cairo-Egypt?o=28&l=sp&t=sj&a=front-end|search-v3|hpb,14 days ago
Senior Front-end Vue.js - Freelance - Remote,Alexandria For Programming -,"Bolkly, Alexandria, Egypt ",Freelance / ProjectExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Electronjs · JavaScript · Software Development · Web · Vue · vuejs,/jobs/p/Q082WSiyCPmG-Senior-Front-end-Vuejs---Freelance---Remote-Alexandria-For-Programming-Alexandria-Egypt?o=29&l=sp&t=sj&a=front-end|search-v3|hpb,22 days ago
Front End Developer (Remote Internship),Seuqel Solutions -,"Cairo, Egypt ",InternshipStudent · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Front end · Design · React · React.js · Software Development · JavaScript,/internship/zyNGGxRx4HZE-Front-End-Developer-Remote-Internship-Seuqel-Solutions-Cairo-Egypt?o=30&l=sp&t=sj&a=front-end|search-v3|hpb,23 days ago
Senior Front-End Developer,Youxel -,"Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · OOP · MV · HTML5 · CSS3 · RWD · CSS · javaScript · AngularJS,/jobs/p/JqMs7VqPNLSp-Senior-Front-End-Developer-Youxel-Cairo-Egypt?o=31&l=sp&t=sj&a=front-end|search-v3|hpb,28 days ago
Senior Front End Developer,Affsquare -,"Zagazig, Sharqia, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front end · JavaScript · Front end developer · developer · Computer Science · Information Technology (IT) · Software Development · HTML,/jobs/p/AY8RdaZsHZ76-Senior-Front-End-Developer-Affsquare-Sharqia-Egypt?o=32&l=sp&t=sj&a=front-end|search-v3|hpb,1 month ago
Front End Developer,Dafater -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · OOP · JavaScript · Computer Science · Information Technology (IT) · Programming · Software Development · Vue,/jobs/p/uaaPkG2jzu8R-Front-End-Developer-Dafater-Cairo-Egypt?o=33&l=sp&t=sj&a=front-end|search-v3|hpb,29 days ago
